id,name,album,artists,url
550,Gizeh,Gizeh,Vald,https://i.scdn.co/image/ab67616d00001e023571722ba2b38f39f5d104d8
551,Perkys Calling,Prochaine Chèvre 2,gapman,https://i.scdn.co/image/ab67616d00001e0299f17eb7819f9da745b7c334
552,PORSCHE,PORSCHE,Malo,https://i.scdn.co/image/ab67616d00001e023026a53122f26203cf4eeec1
553,Sincère,Sincère,ENOCK,https://i.scdn.co/image/ab67616d00001e02db61d40a899483cce81b31b3
554,VERSTAPPEN,VERSTAPPEN,Skary,https://i.scdn.co/image/ab67616d00001e022d1570b7a50d8c42bcbd913c
555,BIENVENUE,ÉTATS D'ÂMES,Dau,https://i.scdn.co/image/ab67616d00001e02655997d64fdfbd17cbb67da5
556,Hit & Run (feat. Masicka & Di Genius),Never Gets Late Here,Shenseea,https://i.scdn.co/image/ab67616d00001e024d3fdd8329dbad5ca6c2b1e7
557,It's Okay (wdym?),Black Grey White,$LOTHBOI,https://i.scdn.co/image/ab67616d00001e0220ee873edf8b30d9a16c8056
558,Everlong,The Colour And The Shape,Foo Fighters,https://i.scdn.co/image/ab67616d00001e020389027010b78a5e7dce426b
559,Ethel,Memorial,Russian Circles,https://i.scdn.co/image/ab67616d00001e020a6681162da174d75599b377
560,Conversations With Angels (feat. DJ Shadow & Chino Amobi),$uccessor (ded004),Dedekind Cut,https://i.scdn.co/image/ab67616d00001e028a7034957dd012c0021ab2c7
561,Black Dragons,Black Dragons,Rabit,https://i.scdn.co/image/ab67616d00001e02ebd6e97cfb7c05a1ad8be2d9
562,Hunted,Power,Lotic,https://i.scdn.co/image/ab67616d00001e02875d529f33576afd24a76318
563,Meds,Meds,Import Export,https://i.scdn.co/image/ab67616d00001e02ecc13256c43ff2e1c04fe3b7
564,Deserve It,MOSQUITO,LYZZA,https://i.scdn.co/image/ab67616d00001e0278bb160cb976b5b62acb221a
565,southview,southview,8485,https://i.scdn.co/image/ab67616d00001e025ef8f668ac5573f01be3611f
566,Burnout Eyess,oOoOO EP,oOoOO,https://i.scdn.co/image/ab67616d00001e023bb5245707ed6c0ff29fa17f
567,Stay Ugly,Stay Ugly EP,Crim3s,https://i.scdn.co/image/ab67616d00001e022ba83d30de29062f9bb9ccef
568,Naked Eye,Fever In Fever Out,Luscious Jackson,https://i.scdn.co/image/ab67616d00001e02e4a7b4f2f07fd6bc5161d3d2
569,Satanic Trips,Rare Trax,Ritualz,https://i.scdn.co/image/ab67616d00001e02f3776a110d39de9f6edf603b
570,Seventeen,Light & Magic,Ladytron,https://i.scdn.co/image/ab67616d00001e02f71425921620fe48f16546bb
571,Linger,Women of the 90s: Alternative and Rock,The Cranberries,https://i.scdn.co/image/ab67616d00001e0214d801965f373e861b78b239
572,Three Drinks (A forgotten Shadow  a breath of Becoming),Three Drinks (A forgotten Shadow  a breath of Becoming),xR,https://i.scdn.co/image/ab67616d00001e0284084afb9bde39326f7df146
573,Rose orangé,Rose orangé,Caballero,https://i.scdn.co/image/ab67616d00001e024c77abcc06021cc32b32be9e
574,Nobody Cares,Nobody Cares,Lonely in the Rain,https://i.scdn.co/image/ab67616d00001e022baea8085774c61778e7142a
575,2 HANDS 2 EYES 10 WHIPS/RENT DUE (feat. Lil Yachty  Camo!  Draft Day  KARRAHBOOO  Dc2trill),It's Us Vol. 1,Concrete Boys,https://i.scdn.co/image/ab67616d00001e02f72e14fb1e43bf856978f915
576,When I Come Around,Dookie,Green Day,https://i.scdn.co/image/ab67616d00001e02db89b08034de626ebee6823d
577,Tenebre - Reprise,Tenebre,Claudio Simonetti,https://i.scdn.co/image/ab67616d00001e023f65ff7776ad077d8d4932c5
578,Techno Cave,Techno Cave,Vlinder Vos,https://i.scdn.co/image/ab67616d00001e02a932c71ffa2b5c5a8a3fd723
579,Driving Alone Past Roadwork at Night,Three Love Songs,Ricky Eat Acid,https://i.scdn.co/image/ab67616d00001e02f12f8635847d1ad0a87405ee
580,Debout sur les affaires,Le Chemin du Cœur,Baby Neelou,https://i.scdn.co/image/ab67616d00001e020a5d98e7420fc41864a03bf9
581,Dead Planet,Ascendants,Oceano,https://i.scdn.co/image/ab67616d00001e0292cba56695ae28f4f9c0afa6
583,L's,DO NOT DISTURB (DELUXE),Nemzzz,https://i.scdn.co/image/ab67616d00001e0228b4eaa6b95cb08edc6a979f
584,Un peu émue,Muse,Dalí,https://i.scdn.co/image/ab67616d00001e0279d8a3ce1425db269b7f7b91
592,Kill You,Love Death,moduz,https://i.scdn.co/image/ab67616d00001e02fe917dad0801f8da10797207
593,Exciting Sensation,Exciting Sensation,MATRAKK,https://i.scdn.co/image/ab67616d00001e02ca8de1518b88ebcf42ea913c
594,Horripilation,Horripilation,Karashnikov,https://i.scdn.co/image/ab67616d00001e02ef0202f086f7f9b35c74ee3a
595,Ultima Nox,Ultima Nox,Azulo,https://i.scdn.co/image/ab67616d00001e025c59a961d22975ada42ea638
596,Celle-ci,Toxcity Pt.2,ABSOLEM,https://i.scdn.co/image/ab67616d00001e0295a75c0d8fc061390cbcb782
597,Essential,Colors,The Sunvizors,https://i.scdn.co/image/ab67616d00001e02f6c74951bfdbc07e9d775f3c
599,Not Like Us,Not Like Us,Kendrick Lamar,https://i.scdn.co/image/ab67616d00001e021ea0c62b2339cbf493a999ad
600,collage,One of Wun,Gunna,https://i.scdn.co/image/ab67616d00001e02c67636f3021f5869095c0fc5
